metro,metname,year,metmedfinc,conum,trnum,gisjoin2,gisjoin3,totfam,medfinc,medfincratio,medcat
14484,"Boston-Quincy, MA",1970,10973,25021,25021400100,25002104001,2.50E+12,946,15550,1.417,5
14484,"Boston-Quincy, MA",1970,10973,25021,25021400200,25002104002,2.50E+12,1137,12768,1.164,4
14484,"Boston-Quincy, MA",1970,10973,25021,25021400300,25002104003,2.50E+12,1169,12900,1.176,4
14484,"Boston-Quincy, MA",1970,10973,25021,25021400400,25002104004,2.50E+12,1236,12520,1.141,4
14484,"Boston-Quincy, MA",1970,10973,25021,25021400500,25002104005,2.50E+12,1327,12746,1.162,4
14484,"Boston-Quincy, MA",1970,10973,25021,25021400600,25002104006,2.50E+12,1369,15016,1.368,5
14484,"Boston-Quincy, MA",1970,10973,25021,25021400700,25002104007,2.50E+12,860,11881,1.083,4
14484,"Boston-Quincy, MA",1970,10973,25021,25021400800,25002104008,2.50E+12,1283,12161,1.108,4
14484,"Boston-Quincy, MA",1970,10973,25021,25021400900,25002104009,2.50E+12,889,10991,1.002,4
14484,"Boston-Quincy, MA",1970,10973,25021,25021401000,25002104010,2.50E+12,948,9949,0.907,3
14484,"Boston-Quincy, MA",1970,10973,25021,25021401100,25002104011,2.50E+12,1129,23021,2.098,6
14484,"Boston-Quincy, MA",1970,10973,25021,25021401200,25002104012,2.50E+12,1722,19653,1.791,6
14484,"Boston-Quincy, MA",1970,10973,25021,25021402100,25002104021,2.50E+12,2328,11038,1.006,4
14484,"Boston-Quincy, MA",1970,10973,25021,25021402200,25002104022,2.50E+12,633,11649,1.062,4
14484,"Boston-Quincy, MA",1970,10973,25021,25021402300,25002104023,2.50E+12,1202,13607,1.24,4
14484,"Boston-Quincy, MA",1970,10973,25021,25021402400,25002104024,2.50E+12,1798,13257,1.208,4
14484,"Boston-Quincy, MA",1970,10973,25021,25021402500,25002104025,2.50E+12,895,16917,1.542,6
14484,"Boston-Quincy, MA",1970,10973,25021,25021403100,25002104031,2.50E+12,1970,17942,1.635,6
14484,"Boston-Quincy, MA",1970,10973,25021,25021403200,25002104032,2.50E+12,1238,17051,1.554,6
14484,"Boston-Quincy, MA",1970,10973,25021,25021403300,25002104033,2.50E+12,1056,17404,1.586,6
14484,"Boston-Quincy, MA",1970,10973,25021,25021403400,25002104034,2.50E+12,1853,16119,1.469,5
14484,"Boston-Quincy, MA",1970,10973,25021,25021403500,25002104035,2.50E+12,1466,13288,1.211,4
14484,"Boston-Quincy, MA",1970,10973,25021,25021404100,25002104041,2.50E+12,440,17983,1.639,6
14484,"Boston-Quincy, MA",1970,10973,25021,25021404200,25002104042,2.50E+12,2495,20713,1.888,6
14484,"Boston-Quincy, MA",1970,10973,25021,25021404300,25002104043,2.50E+12,2464,18354,1.673,6
14484,"Boston-Quincy, MA",1970,10973,25021,25021404400,25002104044,2.50E+12,1003,20290,1.849,6
14484,"Boston-Quincy, MA",1970,10973,25021,25021405100,25002104051,2.50E+12,1167,22716,2.07,6
14484,"Boston-Quincy, MA",1970,10973,25021,25021406100,25002104061,2.50E+12,2160,15609,1.422,5
14484,"Boston-Quincy, MA",1970,10973,25021,25021407100,25002104071,2.50E+12,1331,12580,1.146,4
14484,"Boston-Quincy, MA",1970,10973,25021,25021408100,25002104081,2.50E+12,1826,11406,1.039,4
14484,"Boston-Quincy, MA",1970,10973,25021,25021409100,25002104091,2.50E+12,906,12015,1.095,4
14484,"Boston-Quincy, MA",1970,10973,25021,25021410100,25002104101,2.50E+12,1329,11255,1.026,4
14484,"Boston-Quincy, MA",1970,10973,25021,25021410200,25002104102,2.50E+12,9,20000,1.823,6
14484,"Boston-Quincy, MA",1970,10973,25021,25021410300,25002104103,2.50E+12,753,12798,1.166,4
