metro,metname,year,metmedfinc,conum,trnum,gisjoin2,gisjoin3,totfam,medfinc,medfincratio,medcat,gisjoin_mod
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017300100,25001703001,2.50E+12,617,21549,0.896,3,25001703001
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017301100,25001703011,2.50E+12,1937,22622,0.941,3,25001703011
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017302100,25001703021,2.50E+12,1103,20122,0.837,3,25001703021
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017302200,25001703022,2.50E+12,200,15000,0.624,1,25001703022
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017310100,25001703101,2.50E+12,419,10702,0.445,1,25001703101
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017310200,25001703102,2.50E+12,1456,19714,0.82,3,25001703102
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017310300,25001703103,2.50E+12,1515,17542,0.73,2,25001703103
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017310400,25001703104,2.50E+12,844,12585,0.524,1,25001703104
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017310500,25001703105,2.50E+12,761,18383,0.765,2,25001703105
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017310600,25001703106,2.50E+12,2178,19746,0.821,3,25001703106
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017310700,25001703107,2.50E+12,856,14505,0.603,1,25001703107
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017310800,25001703108,2.50E+12,255,12171,0.506,1,25001703108
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017310900,25001703109,2.50E+12,139,10069,0.419,1,25001703109
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017311000,25001703110,2.50E+12,265,6681,0.278,1,25001703110
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017311100,25001703111,2.50E+12,476,11324,0.471,1,25001703111
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017311200,25001703112,2.50E+12,650,14000,0.582,1,25001703112
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017311300,25001703113,2.50E+12,873,17780,0.74,2,25001703113
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017311400,25001703114,2.50E+12,1239,17999,0.749,2,25001703114
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017311500,25001703115,2.50E+12,694,23438,0.975,3,25001703115
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017311600,25001703116,2.50E+12,1356,21067,0.876,3,25001703116
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017311700,25001703117,2.50E+12,1009,20123,0.837,3,25001703117
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017311800,25001703118,2.50E+12,646,15625,0.65,1,25001703118
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017311900,25001703119,2.50E+12,582,11951,0.497,1,25001703119
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017312000,25001703120,2.50E+12,837,15099,0.628,1,25001703120
15764,"Cambridge-Newton-Framingham, MA",1980,24039,25017,25017312100,25001703121,2.50E+12,629,14750,0.614,1,25001703121
