metro,metname,year,metmedfinc,conum,trnum,gisjoin2,gisjoin3,totfam,medfinc,medfincratio,medcat,gisjoin_mod
21604,"Essex County, MA",1990,45794,25009,25009201100,25000902011,2.50E+12,989,59639,1.302,5,25000902011
21604,"Essex County, MA",1990,45794,25009,25009202100,25000902021,2.50E+12,2183,50950,1.113,4,25000902021
21604,"Essex County, MA",1990,45794,25009,25009202200,25000902022,2.50E+12,1696,72753,1.589,6,25000902022
21604,"Essex County, MA",1990,45794,25009,25009203100,25000902031,2.50E+12,2024,69968,1.528,6,25000902031
21604,"Essex County, MA",1990,45794,25009,25009203200,25000902032,2.50E+12,1288,63645,1.39,5,25000902032
21604,"Essex County, MA",1990,45794,25009,25009203300,25000902033,2.50E+12,2288,62535,1.366,5,25000902033
21604,"Essex County, MA",1990,45794,25009,25009204100,25000902041,2.50E+12,2075,42264,0.923,3,25000902041
21604,"Essex County, MA",1990,45794,25009,25009204200,25000902042,2.50E+12,1116,44500,0.972,3,25000902042
21604,"Essex County, MA",1990,45794,25009,25009204300,25000902043,2.50E+12,709,19472,0.425,1,25000902043
21604,"Essex County, MA",1990,45794,25009,25009204400,25000902044,2.50E+12,860,41154,0.899,3,25000902044
21604,"Essex County, MA",1990,45794,25009,25009204500,25000902045,2.50E+12,661,41719,0.911,3,25000902045
21604,"Essex County, MA",1990,45794,25009,25009204600,25000902046,2.50E+12,1453,41299,0.902,3,25000902046
21604,"Essex County, MA",1990,45794,25009,25009204701,2.50E+12,2.50E+12,1159,37440,0.818,3,2500090204701
21604,"Essex County, MA",1990,45794,25009,25009204702,2.50E+12,2.50E+12,1503,43281,0.945,3,2500090204702
21604,"Essex County, MA",1990,45794,25009,25009205100,25000902051,2.50E+12,1565,44472,0.971,3,25000902051
21604,"Essex County, MA",1990,45794,25009,25009205200,25000902052,2.50E+12,1329,40653,0.888,3,25000902052
21604,"Essex County, MA",1990,45794,25009,25009205300,25000902053,2.50E+12,1205,48646,1.062,4,25000902053
21604,"Essex County, MA",1990,45794,25009,25009205400,25000902054,2.50E+12,1164,55213,1.206,4,25000902054
21604,"Essex County, MA",1990,45794,25009,25009205500,25000902055,2.50E+12,971,32650,0.713,2,25000902055
21604,"Essex County, MA",1990,45794,25009,25009205600,25000902056,2.50E+12,1043,35694,0.779,2,25000902056
21604,"Essex County, MA",1990,45794,25009,25009205700,25000902057,2.50E+12,1259,42989,0.939,3,25000902057
21604,"Essex County, MA",1990,45794,25009,25009205800,25000902058,2.50E+12,626,32721,0.715,2,25000902058
21604,"Essex County, MA",1990,45794,25009,25009205900,25000902059,2.50E+12,991,36534,0.798,2,25000902059
21604,"Essex County, MA",1990,45794,25009,25009206000,25000902060,2.50E+12,645,28264,0.617,1,25000902060
21604,"Essex County, MA",1990,45794,25009,25009206100,25000902061,2.50E+12,665,20021,0.437,1,25000902061
21604,"Essex County, MA",1990,45794,25009,25009206200,25000902062,2.50E+12,1012,25375,0.554,1,25000902062
21604,"Essex County, MA",1990,45794,25009,25009206300,25000902063,2.50E+12,897,37781,0.825,3,25000902063
21604,"Essex County, MA",1990,45794,25009,25009206400,25000902064,2.50E+12,1286,37396,0.817,3,25000902064
21604,"Essex County, MA",1990,45794,25009,25009206500,25000902065,2.50E+12,730,29773,0.65,1,25000902065
21604,"Essex County, MA",1990,45794,25009,25009206600,25000902066,2.50E+12,1056,41866,0.914,3,25000902066
21604,"Essex County, MA",1990,45794,25009,25009206700,25000902067,2.50E+12,783,33967,0.742,2,25000902067
21604,"Essex County, MA",1990,45794,25009,25009206800,25000902068,2.50E+12,544,16855,0.368,1,25000902068
21604,"Essex County, MA",1990,45794,25009,25009206900,25000902069,2.50E+12,697,19095,0.417,1,25000902069
21604,"Essex County, MA",1990,45794,25009,25009207000,25000902070,2.50E+12,415,14583,0.318,1,25000902070
21604,"Essex County, MA",1990,45794,25009,25009207100,25000902071,2.50E+12,738,31136,0.68,2,25000902071
21604,"Essex County, MA",1990,45794,25009,25009207200,25000902072,2.50E+12,509,29107,0.636,1,25000902072
21604,"Essex County, MA",1990,45794,25009,25009208101,2.50E+12,2.50E+12,1444,49000,1.07,4,2500090208101
21604,"Essex County, MA",1990,45794,25009,25009208102,2.50E+12,2.50E+12,884,42717,0.933,3,2500090208102
21604,"Essex County, MA",1990,45794,25009,25009208200,25000902082,2.50E+12,1561,42882,0.936,3,25000902082
21604,"Essex County, MA",1990,45794,25009,25009208300,25000902083,2.50E+12,1920,50711,1.107,4,25000902083
21604,"Essex County, MA",1990,45794,25009,25009208400,25000902084,2.50E+12,1339,52818,1.153,4,25000902084
21604,"Essex County, MA",1990,45794,25009,25009209100,25000902091,2.50E+12,1720,60171,1.314,5,25000902091
21604,"Essex County, MA",1990,45794,25009,25009209200,25000902092,2.50E+12,1570,71521,1.562,6,25000902092
21604,"Essex County, MA",1990,45794,25009,25009210100,25000902101,2.50E+12,2045,52201,1.14,4,25000902101
21604,"Essex County, MA",1990,45794,25009,25009210200,25000902102,2.50E+12,1667,56120,1.225,4,25000902102
21604,"Essex County, MA",1990,45794,25009,25009210300,25000902103,2.50E+12,1651,50683,1.107,4,25000902103
21604,"Essex County, MA",1990,45794,25009,25009210400,25000902104,2.50E+12,1839,42236,0.922,3,25000902104
21604,"Essex County, MA",1990,45794,25009,25009210500,25000902105,2.50E+12,1497,46268,1.01,4,25000902105
21604,"Essex County, MA",1990,45794,25009,25009210600,25000902106,2.50E+12,1144,44227,0.966,3,25000902106
21604,"Essex County, MA",1990,45794,25009,25009210700,25000902107,2.50E+12,1006,33632,0.734,2,25000902107
21604,"Essex County, MA",1990,45794,25009,25009210800,25000902108,2.50E+12,1032,30000,0.655,1,25000902108
21604,"Essex County, MA",1990,45794,25009,25009210900,25000902109,2.50E+12,1075,38925,0.85,3,25000902109
21604,"Essex County, MA",1990,45794,25009,25009211100,25000902111,2.50E+12,1031,47179,1.03,4,25000902111
21604,"Essex County, MA",1990,45794,25009,25009211200,25000902112,2.50E+12,1568,40551,0.886,3,25000902112
21604,"Essex County, MA",1990,45794,25009,25009211300,25000902113,2.50E+12,1790,60034,1.311,5,25000902113
21604,"Essex County, MA",1990,45794,25009,25009211400,25000902114,2.50E+12,2060,52373,1.144,4,25000902114
21604,"Essex County, MA",1990,45794,25009,25009211500,25000902115,2.50E+12,0,,,,25000902115
21604,"Essex County, MA",1990,45794,25009,25009212100,25000902121,2.50E+12,1373,52036,1.136,4,25000902121
21604,"Essex County, MA",1990,45794,25009,25009213100,25000902131,2.50E+12,1779,83509,1.824,6,25000902131
21604,"Essex County, MA",1990,45794,25009,25009214100,25000902141,2.50E+12,1587,71908,1.57,6,25000902141
21604,"Essex County, MA",1990,45794,25009,25009215100,25000902151,2.50E+12,1961,55101,1.203,4,25000902151
21604,"Essex County, MA",1990,45794,25009,25009216100,25000902161,2.50E+12,946,59669,1.303,5,25000902161
21604,"Essex County, MA",1990,45794,25009,25009217100,25000902171,2.50E+12,1809,47134,1.029,4,25000902171
21604,"Essex County, MA",1990,45794,25009,25009217200,25000902172,2.50E+12,2268,50687,1.107,4,25000902172
21604,"Essex County, MA",1990,45794,25009,25009217300,25000902173,2.50E+12,1243,37827,0.826,3,25000902173
21604,"Essex County, MA",1990,45794,25009,25009217400,25000902174,2.50E+12,1278,34542,0.754,2,25000902174
21604,"Essex County, MA",1990,45794,25009,25009217500,25000902175,2.50E+12,1688,52291,1.142,4,25000902175
21604,"Essex County, MA",1990,45794,25009,25009217600,25000902176,2.50E+12,1676,63605,1.389,5,25000902176
21604,"Essex County, MA",1990,45794,25009,25009218100,25000902181,2.50E+12,1457,66015,1.442,5,25000902181
21604,"Essex County, MA",1990,45794,25009,25009220100,25000902201,2.50E+12,1979,48168,1.052,4,25000902201
21604,"Essex County, MA",1990,45794,25009,25009221100,25000902211,2.50E+12,1190,45750,0.999,3,25000902211
21604,"Essex County, MA",1990,45794,25009,25009221200,25000902212,2.50E+12,389,43229,0.944,3,25000902212
21604,"Essex County, MA",1990,45794,25009,25009221300,25000902213,2.50E+12,1000,45063,0.984,3,25000902213
21604,"Essex County, MA",1990,45794,25009,25009221400,25000902214,2.50E+12,769,34766,0.759,2,25000902214
21604,"Essex County, MA",1990,45794,25009,25009221500,25000902215,2.50E+12,752,29063,0.635,1,25000902215
21604,"Essex County, MA",1990,45794,25009,25009221599,2.50E+12,2.50E+12,0,,,,2500090221599
21604,"Essex County, MA",1990,45794,25009,25009221600,25000902216,2.50E+12,473,37188,0.812,3,25000902216
21604,"Essex County, MA",1990,45794,25009,25009221700,25000902217,2.50E+12,800,31176,0.681,2,25000902217
21604,"Essex County, MA",1990,45794,25009,25009221800,25000902218,2.50E+12,623,37031,0.809,3,25000902218
21604,"Essex County, MA",1990,45794,25009,25009221900,25000902219,2.50E+12,1638,41250,0.901,3,25000902219
21604,"Essex County, MA",1990,45794,25009,25009222100,25000902221,2.50E+12,900,51294,1.12,4,25000902221
21604,"Essex County, MA",1990,45794,25009,25009223100,25000902231,2.50E+12,1135,51058,1.115,4,25000902231
21604,"Essex County, MA",1990,45794,25009,25009223200,25000902232,2.50E+12,976,41646,0.909,3,25000902232
21604,"Essex County, MA",1990,45794,25009,25009223300,25000902233,2.50E+12,1226,60604,1.323,5,25000902233
21604,"Essex County, MA",1990,45794,25009,25009250100,25000902501,2.50E+12,280,11915,0.26,1,25000902501
21604,"Essex County, MA",1990,45794,25009,25009250200,25000902502,2.50E+12,1214,33929,0.741,2,25000902502
21604,"Essex County, MA",1990,45794,25009,25009250300,25000902503,2.50E+12,458,22155,0.484,1,25000902503
21604,"Essex County, MA",1990,45794,25009,25009250400,25000902504,2.50E+12,843,14132,0.309,1,25000902504
21604,"Essex County, MA",1990,45794,25009,25009250500,25000902505,2.50E+12,848,19091,0.417,1,25000902505
21604,"Essex County, MA",1990,45794,25009,25009250600,25000902506,2.50E+12,1175,27404,0.598,1,25000902506
21604,"Essex County, MA",1990,45794,25009,25009250700,25000902507,2.50E+12,1037,23699,0.518,1,25000902507
21604,"Essex County, MA",1990,45794,25009,25009250800,25000902508,2.50E+12,1567,36126,0.789,2,25000902508
21604,"Essex County, MA",1990,45794,25009,25009250900,25000902509,2.50E+12,513,11348,0.248,1,25000902509
21604,"Essex County, MA",1990,45794,25009,25009251000,25000902510,2.50E+12,307,15129,0.33,1,25000902510
21604,"Essex County, MA",1990,45794,25009,25009251100,25000902511,2.50E+12,582,16368,0.357,1,25000902511
21604,"Essex County, MA",1990,45794,25009,25009251200,25000902512,2.50E+12,249,13958,0.305,1,25000902512
21604,"Essex County, MA",1990,45794,25009,25009251300,25000902513,2.50E+12,911,12803,0.28,1,25000902513
21604,"Essex County, MA",1990,45794,25009,25009251400,25000902514,2.50E+12,1176,27593,0.603,1,25000902514
21604,"Essex County, MA",1990,45794,25009,25009251500,25000902515,2.50E+12,1256,32992,0.72,2,25000902515
21604,"Essex County, MA",1990,45794,25009,25009251600,25000902516,2.50E+12,1462,26198,0.572,1,25000902516
21604,"Essex County, MA",1990,45794,25009,25009251700,25000902517,2.50E+12,1056,30741,0.671,2,25000902517
21604,"Essex County, MA",1990,45794,25009,25009251800,25000902518,2.50E+12,1997,44549,0.973,3,25000902518
21604,"Essex County, MA",1990,45794,25009,25009252101,2.50E+12,2.50E+12,926,43298,0.946,3,2500090252101
21604,"Essex County, MA",1990,45794,25009,25009252102,2.50E+12,2.50E+12,913,55283,1.207,4,2500090252102
21604,"Essex County, MA",1990,45794,25009,25009252200,25000902522,2.50E+12,1548,50156,1.095,4,25000902522
21604,"Essex County, MA",1990,45794,25009,25009252300,25000902523,2.50E+12,1328,39881,0.871,3,25000902523
21604,"Essex County, MA",1990,45794,25009,25009252400,25000902524,2.50E+12,1051,23487,0.513,1,25000902524
21604,"Essex County, MA",1990,45794,25009,25009252501,2.50E+12,2.50E+12,976,40903,0.893,3,2500090252501
21604,"Essex County, MA",1990,45794,25009,25009252502,2.50E+12,2.50E+12,1236,51152,1.117,4,2500090252502
