metro,metname,year,metmedfinc,conum,trnum,gisjoin2,gisjoin3,totfam,medfinc,medfincratio,medcat,gisjoin2_mod
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017300100,25001703001,2.50E+12,780,64900,0.874,3,2500170300100
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017301101,2.50E+12,2.50E+12,1035,69181,0.931,3,2500170301101
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017301102,2.50E+12,2.50E+12,1448,66164,0.891,3,2500170301102
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017302100,25001703021,2.50E+12,1407,66577,0.896,3,2500170302100
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017302200,25001703022,2.50E+12,11,11250,0.151,1,2500170302200
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017310100,25001703101,2.50E+12,750,21125,0.284,1,2500170310100
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017310200,25001703102,2.50E+12,1481,49969,0.673,2,2500170310200
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017310300,25001703103,2.50E+12,1518,42302,0.569,1,2500170310300
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017310400,25001703104,2.50E+12,825,28854,0.388,1,2500170310400
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017310500,25001703105,2.50E+12,745,50705,0.683,2,2500170310500
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017310601,2.50E+12,2.50E+12,1282,67705,0.911,3,2500170310601
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017310602,2.50E+12,2.50E+12,1455,52795,0.711,2,2500170310602
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017310700,25001703107,2.50E+12,795,34107,0.459,1,2500170310700
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017310800,25001703108,2.50E+12,276,28696,0.386,1,2500170310800
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017311000,25001703110,2.50E+12,522,14390,0.194,1,2500170311000
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017311100,25001703111,2.50E+12,506,27237,0.367,1,2500170311100
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017311200,25001703112,2.50E+12,674,33043,0.445,1,2500170311200
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017311300,25001703113,2.50E+12,859,46350,0.624,1,2500170311300
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017311400,25001703114,2.50E+12,1449,50160,0.675,2,2500170311400
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017311500,25001703115,2.50E+12,687,58438,0.787,2,2500170311500
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017311600,25001703116,2.50E+12,1357,52146,0.702,2,2500170311600
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017311700,25001703117,2.50E+12,1126,47025,0.633,1,2500170311700
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017311800,25001703118,2.50E+12,778,37959,0.511,1,2500170311800
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017311900,25001703119,2.50E+12,524,29423,0.396,1,2500170311900
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017312000,25001703120,2.50E+12,726,33839,0.455,1,2500170312000
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017312100,25001703121,2.50E+12,716,39828,0.536,1,2500170312100
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017312200,25001703122,2.50E+12,1162,42845,0.577,1,2500170312200
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017312300,25001703123,2.50E+12,1222,51786,0.697,2,2500170312300
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017312400,25001703124,2.50E+12,562,32339,0.435,1,2500170312400
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017312501,2.50E+12,2.50E+12,1185,75149,1.012,4,2500170312501
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017312502,2.50E+12,2.50E+12,1065,72419,0.975,3,2500170312502
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017313101,2.50E+12,2.50E+12,1332,87554,1.179,4,2500170313101
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017313102,2.50E+12,2.50E+12,1629,68412,0.921,3,2500170313102
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017314101,2.50E+12,2.50E+12,1546,70000,0.942,3,2500170314101
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017314102,2.50E+12,2.50E+12,1909,64513,0.868,3,2500170314102
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017314200,25001703142,2.50E+12,1532,57589,0.775,2,2500170314200
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017314301,2.50E+12,2.50E+12,2091,65837,0.886,3,2500170314301
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017314302,2.50E+12,2.50E+12,678,83065,1.118,4,2500170314302
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017315100,25001703151,2.50E+12,1516,83695,1.127,4,2500170315100
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017315200,25001703152,2.50E+12,1931,80221,1.08,4,2500170315200
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017315401,2.50E+12,2.50E+12,798,71786,0.966,3,2500170315401
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017315402,2.50E+12,2.50E+12,851,84680,1.14,4,2500170315402
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017315403,2.50E+12,2.50E+12,487,73472,0.989,3,2500170315403
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017315500,25001703155,2.50E+12,2181,65365,0.88,3,2500170315500
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017316101,2.50E+12,2.50E+12,1426,73661,0.992,3,2500170316101
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017316102,2.50E+12,2.50E+12,1669,71795,0.966,3,2500170316102
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017316201,2.50E+12,2.50E+12,1105,80476,1.083,4,2500170316201
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017316202,2.50E+12,2.50E+12,1134,71571,0.963,3,2500170316202
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017316300,25001703163,2.50E+12,1892,69306,0.933,3,2500170316300
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017316400,25001703164,2.50E+12,1501,72527,0.976,3,2500170316400
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017316500,25001703165,2.50E+12,1579,70290,0.946,3,2500170316500
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017317101,2.50E+12,2.50E+12,1579,83163,1.119,4,2500170317101
