metro,metname,year,metmedfinc,conum,trnum,gisjoin2,gisjoin3,totfam,medfinc,medfincratio,medcat,gisjoin2_mod
21604,"Essex County, MA",2000,64273,25009,25009000000,25000900000,2.50E+12,0,,,,2500090000000
21604,"Essex County, MA",2000,64273,25009,25009201100,25000902011,2.50E+12,988,76926,1.197,4,2500090201100
21604,"Essex County, MA",2000,64273,25009,25009202100,25000902021,2.50E+12,2248,68088,1.059,4,2500090202100
21604,"Essex County, MA",2000,64273,25009,25009202200,25000902022,2.50E+12,1748,103803,1.615,6,2500090202200
21604,"Essex County, MA",2000,64273,25009,25009203100,25000902031,2.50E+12,2048,101442,1.578,6,2500090203100
21604,"Essex County, MA",2000,64273,25009,25009203200,25000902032,2.50E+12,1351,122933,1.913,6,2500090203200
21604,"Essex County, MA",2000,64273,25009,25009203300,25000902033,2.50E+12,2293,85618,1.332,5,2500090203300
21604,"Essex County, MA",2000,64273,25009,25009204101,2.50E+12,2.50E+12,1043,55074,0.857,3,2500090204101
21604,"Essex County, MA",2000,64273,25009,25009204102,2.50E+12,2.50E+12,1104,72424,1.127,4,2500090204102
21604,"Essex County, MA",2000,64273,25009,25009204200,25000902042,2.50E+12,1083,47530,0.74,2,2500090204200
21604,"Essex County, MA",2000,64273,25009,25009204300,25000902043,2.50E+12,798,32174,0.501,1,2500090204300
21604,"Essex County, MA",2000,64273,25009,25009204400,25000902044,2.50E+12,799,59044,0.919,3,2500090204400
21604,"Essex County, MA",2000,64273,25009,25009204500,25000902045,2.50E+12,647,60583,0.943,3,2500090204500
21604,"Essex County, MA",2000,64273,25009,25009204600,25000902046,2.50E+12,1362,60377,0.939,3,2500090204600
21604,"Essex County, MA",2000,64273,25009,25009204701,2.50E+12,2.50E+12,1360,62609,0.974,3,2500090204701
21604,"Essex County, MA",2000,64273,25009,25009204702,2.50E+12,2.50E+12,1554,55792,0.868,3,2500090204702
21604,"Essex County, MA",2000,64273,25009,25009205100,25000902051,2.50E+12,1465,62474,0.972,3,2500090205100
21604,"Essex County, MA",2000,64273,25009,25009205200,25000902052,2.50E+12,1362,57255,0.891,3,2500090205200
21604,"Essex County, MA",2000,64273,25009,25009205300,25000902053,2.50E+12,1245,67537,1.051,4,2500090205300
21604,"Essex County, MA",2000,64273,25009,25009205400,25000902054,2.50E+12,1249,73281,1.14,4,2500090205400
21604,"Essex County, MA",2000,64273,25009,25009205500,25000902055,2.50E+12,1109,44611,0.694,2,2500090205500
21604,"Essex County, MA",2000,64273,25009,25009205600,25000902056,2.50E+12,1022,43533,0.677,2,2500090205600
21604,"Essex County, MA",2000,64273,25009,25009205700,25000902057,2.50E+12,1177,61152,0.951,3,2500090205700
21604,"Essex County, MA",2000,64273,25009,25009205800,25000902058,2.50E+12,656,40789,0.635,1,2500090205800
21604,"Essex County, MA",2000,64273,25009,25009205900,25000902059,2.50E+12,990,48409,0.753,2,2500090205900
21604,"Essex County, MA",2000,64273,25009,25009206000,25000902060,2.50E+12,723,32966,0.513,1,2500090206000
21604,"Essex County, MA",2000,64273,25009,25009206100,25000902061,2.50E+12,783,33024,0.514,1,2500090206100
21604,"Essex County, MA",2000,64273,25009,25009206200,25000902062,2.50E+12,1141,30893,0.481,1,2500090206200
21604,"Essex County, MA",2000,64273,25009,25009206300,25000902063,2.50E+12,884,38839,0.604,1,2500090206300
21604,"Essex County, MA",2000,64273,25009,25009206400,25000902064,2.50E+12,1294,45000,0.7,2,2500090206400
21604,"Essex County, MA",2000,64273,25009,25009206500,25000902065,2.50E+12,770,42412,0.66,1,2500090206500
21604,"Essex County, MA",2000,64273,25009,25009206600,25000902066,2.50E+12,1034,50517,0.786,2,2500090206600
21604,"Essex County, MA",2000,64273,25009,25009206700,25000902067,2.50E+12,873,41369,0.644,1,2500090206700
21604,"Essex County, MA",2000,64273,25009,25009206800,25000902068,2.50E+12,749,22725,0.354,1,2500090206800
21604,"Essex County, MA",2000,64273,25009,25009206900,25000902069,2.50E+12,819,33494,0.521,1,2500090206900
21604,"Essex County, MA",2000,64273,25009,25009207000,25000902070,2.50E+12,448,26897,0.418,1,2500090207000
21604,"Essex County, MA",2000,64273,25009,25009207100,25000902071,2.50E+12,736,37159,0.578,1,2500090207100
21604,"Essex County, MA",2000,64273,25009,25009207200,25000902072,2.50E+12,629,27974,0.435,1,2500090207200
21604,"Essex County, MA",2000,64273,25009,25009208101,2.50E+12,2.50E+12,1391,62299,0.969,3,2500090208101
21604,"Essex County, MA",2000,64273,25009,25009208102,2.50E+12,2.50E+12,879,67165,1.045,4,2500090208102
21604,"Essex County, MA",2000,64273,25009,25009208200,25000902082,2.50E+12,1484,61957,0.964,3,2500090208200
21604,"Essex County, MA",2000,64273,25009,25009208300,25000902083,2.50E+12,1962,66750,1.039,4,2500090208300
21604,"Essex County, MA",2000,64273,25009,25009208400,25000902084,2.50E+12,1413,71518,1.113,4,2500090208400
21604,"Essex County, MA",2000,64273,25009,25009209100,25000902091,2.50E+12,1787,85068,1.324,5,2500090209100
21604,"Essex County, MA",2000,64273,25009,25009209200,25000902092,2.50E+12,1565,100784,1.568,6,2500090209200
21604,"Essex County, MA",2000,64273,25009,25009210100,25000902101,2.50E+12,2044,79878,1.243,4,2500090210100
21604,"Essex County, MA",2000,64273,25009,25009210200,25000902102,2.50E+12,1605,76385,1.188,4,2500090210200
21604,"Essex County, MA",2000,64273,25009,25009210300,25000902103,2.50E+12,1598,69063,1.075,4,2500090210300
21604,"Essex County, MA",2000,64273,25009,25009210400,25000902104,2.50E+12,1790,62098,0.966,3,2500090210400
21604,"Essex County, MA",2000,64273,25009,25009210500,25000902105,2.50E+12,1752,74730,1.163,4,2500090210500
21604,"Essex County, MA",2000,64273,25009,25009210600,25000902106,2.50E+12,1119,59250,0.922,3,2500090210600
21604,"Essex County, MA",2000,64273,25009,25009210700,25000902107,2.50E+12,1028,57895,0.901,3,2500090210700
21604,"Essex County, MA",2000,64273,25009,25009210800,25000902108,2.50E+12,990,35714,0.556,1,2500090210800
21604,"Essex County, MA",2000,64273,25009,25009210900,25000902109,2.50E+12,1071,56406,0.878,3,2500090210900
21604,"Essex County, MA",2000,64273,25009,25009211100,25000902111,2.50E+12,948,62596,0.974,3,2500090211100
21604,"Essex County, MA",2000,64273,25009,25009211200,25000902112,2.50E+12,1591,64160,0.998,3,2500090211200
21604,"Essex County, MA",2000,64273,25009,25009211300,25000902113,2.50E+12,1864,78084,1.215,4,2500090211300
21604,"Essex County, MA",2000,64273,25009,25009211400,25000902114,2.50E+12,2199,73101,1.137,4,2500090211400
21604,"Essex County, MA",2000,64273,25009,25009212100,25000902121,2.50E+12,1778,87605,1.363,5,2500090212100
21604,"Essex County, MA",2000,64273,25009,25009213100,25000902131,2.50E+12,2253,119491,1.859,6,2500090213100
21604,"Essex County, MA",2000,64273,25009,25009214100,25000902141,2.50E+12,1718,104475,1.625,6,2500090214100
21604,"Essex County, MA",2000,64273,25009,25009215100,25000902151,2.50E+12,2152,79886,1.243,4,2500090215100
21604,"Essex County, MA",2000,64273,25009,25009216100,25000902161,2.50E+12,952,98004,1.525,6,2500090216100
21604,"Essex County, MA",2000,64273,25009,25009217100,25000902171,2.50E+12,1901,72734,1.132,4,2500090217100
21604,"Essex County, MA",2000,64273,25009,25009217201,2.50E+12,2.50E+12,1163,56399,0.877,3,2500090217201
21604,"Essex County, MA",2000,64273,25009,25009217202,2.50E+12,2.50E+12,1014,63373,0.986,3,2500090217202
21604,"Essex County, MA",2000,64273,25009,25009217300,25000902173,2.50E+12,1158,48056,0.748,2,2500090217300
21604,"Essex County, MA",2000,64273,25009,25009217400,25000902174,2.50E+12,1117,52644,0.819,3,2500090217400
