metro,metname,year,metmedfinc,conum,trnum,gisjoin2,gisjoin3,totfam,medfinc,medfincratio,medcat
21604,"Essex County, MA",2009,83415,25009,25009201100,25000902011,2.50E+12,899,134875,1.617,6
21604,"Essex County, MA",2009,83415,25009,25009202101,2.50E+12,2.50E+12,583,108125,1.296,5
21604,"Essex County, MA",2009,83415,25009,25009202102,2.50E+12,2.50E+12,1607,91165,1.093,4
21604,"Essex County, MA",2009,83415,25009,25009202200,25000902022,2.50E+12,1739,127983,1.534,6
21604,"Essex County, MA",2009,83415,25009,25009203100,25000902031,2.50E+12,1880,128517,1.541,6
21604,"Essex County, MA",2009,83415,25009,25009203200,25000902032,2.50E+12,1268,131932,1.582,6
21604,"Essex County, MA",2009,83415,25009,25009203301,2.50E+12,2.50E+12,1124,114167,1.369,5
21604,"Essex County, MA",2009,83415,25009,25009203302,2.50E+12,2.50E+12,1235,104806,1.256,5
21604,"Essex County, MA",2009,83415,25009,25009204101,2.50E+12,2.50E+12,875,57159,0.685,2
21604,"Essex County, MA",2009,83415,25009,25009204102,2.50E+12,2.50E+12,1043,84282,1.01,4
21604,"Essex County, MA",2009,83415,25009,25009204200,25000902042,2.50E+12,1111,55824,0.669,2
21604,"Essex County, MA",2009,83415,25009,25009204300,25000902043,2.50E+12,760,37237,0.446,1
21604,"Essex County, MA",2009,83415,25009,25009204400,25000902044,2.50E+12,788,74091,0.888,3
21604,"Essex County, MA",2009,83415,25009,25009204500,25000902045,2.50E+12,731,68381,0.82,3
21604,"Essex County, MA",2009,83415,25009,25009204600,25000902046,2.50E+12,1316,66250,0.794,2
21604,"Essex County, MA",2009,83415,25009,25009204701,2.50E+12,2.50E+12,1380,63793,0.765,2
21604,"Essex County, MA",2009,83415,25009,25009204702,2.50E+12,2.50E+12,1660,73425,0.88,3
21604,"Essex County, MA",2009,83415,25009,25009205100,25000902051,2.50E+12,1491,82601,0.99,3
21604,"Essex County, MA",2009,83415,25009,25009205200,25000902052,2.50E+12,1500,76235,0.914,3
21604,"Essex County, MA",2009,83415,25009,25009205300,25000902053,2.50E+12,1139,94188,1.129,4
21604,"Essex County, MA",2009,83415,25009,25009205400,25000902054,2.50E+12,1471,97107,1.164,4
21604,"Essex County, MA",2009,83415,25009,25009205500,25000902055,2.50E+12,1180,46753,0.56,1
21604,"Essex County, MA",2009,83415,25009,25009205600,25000902056,2.50E+12,998,48214,0.578,1
21604,"Essex County, MA",2009,83415,25009,25009205700,25000902057,2.50E+12,1171,64116,0.769,2
21604,"Essex County, MA",2009,83415,25009,25009205800,25000902058,2.50E+12,821,34097,0.409,1
21604,"Essex County, MA",2009,83415,25009,25009205900,25000902059,2.50E+12,1081,42467,0.509,1
21604,"Essex County, MA",2009,83415,25009,25009206000,25000902060,2.50E+12,708,35208,0.422,1
21604,"Essex County, MA",2009,83415,25009,25009206100,25000902061,2.50E+12,845,37139,0.445,1
21604,"Essex County, MA",2009,83415,25009,25009206200,25000902062,2.50E+12,1184,37326,0.447,1
21604,"Essex County, MA",2009,83415,25009,25009206300,25000902063,2.50E+12,919,37130,0.445,1
21604,"Essex County, MA",2009,83415,25009,25009206400,25000902064,2.50E+12,1316,55268,0.663,1
21604,"Essex County, MA",2009,83415,25009,25009206500,25000902065,2.50E+12,728,55682,0.668,2
21604,"Essex County, MA",2009,83415,25009,25009206600,25000902066,2.50E+12,1144,49225,0.59,1
21604,"Essex County, MA",2009,83415,25009,25009206700,25000902067,2.50E+12,848,43190,0.518,1
21604,"Essex County, MA",2009,83415,25009,25009206800,25000902068,2.50E+12,534,30056,0.36,1
21604,"Essex County, MA",2009,83415,25009,25009206900,25000902069,2.50E+12,1085,37299,0.447,1
21604,"Essex County, MA",2009,83415,25009,25009207000,25000902070,2.50E+12,467,44464,0.533,1
21604,"Essex County, MA",2009,83415,25009,25009207100,25000902071,2.50E+12,683,33675,0.404,1
21604,"Essex County, MA",2009,83415,25009,25009207200,25000902072,2.50E+12,637,34070,0.408,1
21604,"Essex County, MA",2009,83415,25009,25009208101,2.50E+12,2.50E+12,1435,83646,1.003,4
21604,"Essex County, MA",2009,83415,25009,25009208102,2.50E+12,2.50E+12,838,95833,1.149,4
21604,"Essex County, MA",2009,83415,25009,25009208200,25000902082,2.50E+12,1281,86422,1.036,4
21604,"Essex County, MA",2009,83415,25009,25009208300,25000902083,2.50E+12,2085,95884,1.149,4
21604,"Essex County, MA",2009,83415,25009,25009208400,25000902084,2.50E+12,1456,95000,1.139,4
21604,"Essex County, MA",2009,83415,25009,25009209100,25000902091,2.50E+12,1656,113603,1.362,5
21604,"Essex County, MA",2009,83415,25009,25009209200,25000902092,2.50E+12,1606,122672,1.471,5
21604,"Essex County, MA",2009,83415,25009,25009210100,25000902101,2.50E+12,1917,93918,1.126,4
21604,"Essex County, MA",2009,83415,25009,25009210200,25000902102,2.50E+12,1564,100882,1.209,4
21604,"Essex County, MA",2009,83415,25009,25009210300,25000902103,2.50E+12,1915,76696,0.919,3
21604,"Essex County, MA",2009,83415,25009,25009210400,25000902104,2.50E+12,1976,80000,0.959,3
21604,"Essex County, MA",2009,83415,25009,25009210500,25000902105,2.50E+12,1681,85422,1.024,4
21604,"Essex County, MA",2009,83415,25009,25009210600,25000902106,2.50E+12,1088,75278,0.902,3
21604,"Essex County, MA",2009,83415,25009,25009210700,25000902107,2.50E+12,933,54028,0.648,1
21604,"Essex County, MA",2009,83415,25009,25009210800,25000902108,2.50E+12,1037,41760,0.501,1
21604,"Essex County, MA",2009,83415,25009,25009210900,25000902109,2.50E+12,988,90147,1.081,4
21604,"Essex County, MA",2009,83415,25009,25009211100,25000902111,2.50E+12,891,103750,1.244,4
21604,"Essex County, MA",2009,83415,25009,25009211200,25000902112,2.50E+12,1604,85585,1.026,4
21604,"Essex County, MA",2009,83415,25009,25009211300,25000902113,2.50E+12,2001,107348,1.287,5
21604,"Essex County, MA",2009,83415,25009,25009211401,2.50E+12,2.50E+12,772,78958,0.947,3
21604,"Essex County, MA",2009,83415,25009,25009211402,2.50E+12,2.50E+12,1667,105578,1.266,5
21604,"Essex County, MA",2009,83415,25009,25009212100,25000902121,2.50E+12,2001,100288,1.202,4
21604,"Essex County, MA",2009,83415,25009,25009213100,25000902131,2.50E+12,2291,145691,1.747,6
21604,"Essex County, MA",2009,83415,25009,25009214100,25000902141,2.50E+12,1708,122794,1.472,5
21604,"Essex County, MA",2009,83415,25009,25009215101,2.50E+12,2.50E+12,1291,119886,1.437,5
21604,"Essex County, MA",2009,83415,25009,25009215102,2.50E+12,2.50E+12,723,103872,1.245,4
21604,"Essex County, MA",2009,83415,25009,25009216100,25000902161,2.50E+12,954,159688,1.914,6
21604,"Essex County, MA",2009,83415,25009,25009217100,25000902171,2.50E+12,1808,95568,1.146,4
21604,"Essex County, MA",2009,83415,25009,25009217201,2.50E+12,2.50E+12,1153,66066,0.792,2
21604,"Essex County, MA",2009,83415,25009,25009217202,2.50E+12,2.50E+12,1019,108854,1.305,5
21604,"Essex County, MA",2009,83415,25009,25009217300,25000902173,2.50E+12,1027,53661,0.643,1
21604,"Essex County, MA",2009,83415,25009,25009217400,25000902174,2.50E+12,1042,75000,0.899,3
21604,"Essex County, MA",2009,83415,25009,25009217500,25000902175,2.50E+12,1446,96774,1.16,4
21604,"Essex County, MA",2009,83415,25009,25009217600,25000902176,2.50E+12,1837,126504,1.517,6
21604,"Essex County, MA",2009,83415,25009,25009218100,25000902181,2.50E+12,1466,131136,1.572,6
21604,"Essex County, MA",2009,83415,25009,25009220101,2.50E+12,2.50E+12,1021,99777,1.196,4
21604,"Essex County, MA",2009,83415,25009,25009220102,2.50E+12,2.50E+12,875,93750,1.124,4
21604,"Essex County, MA",2009,83415,25009,25009221100,25000902211,2.50E+12,1294,101944,1.222,4
21604,"Essex County, MA",2009,83415,25009,25009221300,25000902213,2.50E+12,1261,74208,0.89,3
21604,"Essex County, MA",2009,83415,25009,25009221400,25000902214,2.50E+12,802,65263,0.782,2
21604,"Essex County, MA",2009,83415,25009,25009221500,25000902215,2.50E+12,741,52898,0.634,1
21604,"Essex County, MA",2009,83415,25009,25009221600,25000902216,2.50E+12,621,46058,0.552,1
21604,"Essex County, MA",2009,83415,25009,25009221700,25000902217,2.50E+12,654,56250,0.674,2
21604,"Essex County, MA",2009,83415,25009,25009221800,25000902218,2.50E+12,466,99792,1.196,4
21604,"Essex County, MA",2009,83415,25009,25009221901,2.50E+12,2.50E+12,852,84942,1.018,4
21604,"Essex County, MA",2009,83415,25009,25009221902,2.50E+12,2.50E+12,1161,85125,1.021,4
21604,"Essex County, MA",2009,83415,25009,25009222100,25000902221,2.50E+12,919,115048,1.379,5
21604,"Essex County, MA",2009,83415,25009,25009223100,25000902231,2.50E+12,1056,100000,1.199,4
21604,"Essex County, MA",2009,83415,25009,25009223200,25000902232,2.50E+12,879,91563,1.098,4
21604,"Essex County, MA",2009,83415,25009,25009223300,25000902233,2.50E+12,1563,115236,1.381,5
21604,"Essex County, MA",2009,83415,25009,25009250100,25000902501,2.50E+12,354,23158,0.278,1
21604,"Essex County, MA",2009,83415,25009,25009250200,25000902502,2.50E+12,1443,40572,0.486,1
21604,"Essex County, MA",2009,83415,25009,25009250300,25000902503,2.50E+12,579,46083,0.552,1
21604,"Essex County, MA",2009,83415,25009,25009250400,25000902504,2.50E+12,910,26282,0.315,1
21604,"Essex County, MA",2009,83415,25009,25009250500,25000902505,2.50E+12,901,38072,0.456,1
21604,"Essex County, MA",2009,83415,25009,25009250600,25000902506,2.50E+12,1257,48958,0.587,1
21604,"Essex County, MA",2009,83415,25009,25009250700,25000902507,2.50E+12,1248,28345,0.34,1
21604,"Essex County, MA",2009,83415,25009,25009250800,25000902508,2.50E+12,1927,33996,0.408,1
21604,"Essex County, MA",2009,83415,25009,25009250900,25000902509,2.50E+12,506,25407,0.305,1
21604,"Essex County, MA",2009,83415,25009,25009251000,25000902510,2.50E+12,378,22109,0.265,1
21604,"Essex County, MA",2009,83415,25009,25009251100,25000902511,2.50E+12,524,20806,0.249,1
21604,"Essex County, MA",2009,83415,25009,25009251200,25000902512,2.50E+12,293,36360,0.436,1
21604,"Essex County, MA",2009,83415,25009,25009251300,25000902513,2.50E+12,750,20641,0.247,1
21604,"Essex County, MA",2009,83415,25009,25009251400,25000902514,2.50E+12,1124,36063,0.432,1
21604,"Essex County, MA",2009,83415,25009,25009251500,25000902515,2.50E+12,1576,44435,0.533,1
21604,"Essex County, MA",2009,83415,25009,25009251600,25000902516,2.50E+12,1416,30433,0.365,1
21604,"Essex County, MA",2009,83415,25009,25009251700,25000902517,2.50E+12,1290,44104,0.529,1
21604,"Essex County, MA",2009,83415,25009,25009251800,25000902518,2.50E+12,1881,63938,0.767,2
21604,"Essex County, MA",2009,83415,25009,25009252101,2.50E+12,2.50E+12,850,91250,1.094,4
21604,"Essex County, MA",2009,83415,25009,25009252102,2.50E+12,2.50E+12,1130,100750,1.208,4
21604,"Essex County, MA",2009,83415,25009,25009252201,2.50E+12,2.50E+12,844,92212,1.105,4
21604,"Essex County, MA",2009,83415,25009,25009252202,2.50E+12,2.50E+12,861,128105,1.536,6
21604,"Essex County, MA",2009,83415,25009,25009252300,25000902523,2.50E+12,1488,65523,0.786,2
21604,"Essex County, MA",2009,83415,25009,25009252400,25000902524,2.50E+12,1018,45115,0.541,1
21604,"Essex County, MA",2009,83415,25009,25009252501,2.50E+12,2.50E+12,917,66723,0.8,2
21604,"Essex County, MA",2009,83415,25009,25009252502,2.50E+12,2.50E+12,1170,86607,1.038,4
21604,"Essex County, MA",2009,83415,25009,25009252601,2.50E+12,2.50E+12,1751,88603,1.062,4
21604,"Essex County, MA",2009,83415,25009,25009252602,2.50E+12,2.50E+12,1178,91364,1.095,4
21604,"Essex County, MA",2009,83415,25009,25009252603,2.50E+12,2.50E+12,819,106688,1.279,5
21604,"Essex County, MA",2009,83415,25009,25009253100,25000902531,2.50E+12,1232,87179,1.045,4
21604,"Essex County, MA",2009,83415,25009,25009253201,2.50E+12,2.50E+12,604,107500,1.289,5
21604,"Essex County, MA",2009,83415,25009,25009253202,2.50E+12,2.50E+12,1581,89774,1.076,4
21604,"Essex County, MA",2009,83415,25009,25009253203,2.50E+12,2.50E+12,1051,164241,1.969,6
21604,"Essex County, MA",2009,83415,25009,25009253204,2.50E+12,2.50E+12,1366,147500,1.768,6
21604,"Essex County, MA",2009,83415,25009,25009253205,2.50E+12,2.50E+12,1188,152188,1.824,6
21604,"Essex County, MA",2009,83415,25009,25009254100,25000902541,2.50E+12,1666,116087,1.392,5
21604,"Essex County, MA",2009,83415,25009,25009254200,25000902542,2.50E+12,1078,113214,1.357,5
21604,"Essex County, MA",2009,83415,25009,25009254301,2.50E+12,2.50E+12,1125,155417,1.863,6
21604,"Essex County, MA",2009,83415,25009,25009254302,2.50E+12,2.50E+12,1338,149079,1.787,6
21604,"Essex County, MA",2009,83415,25009,25009254401,2.50E+12,2.50E+12,1004,131579,1.577,6
21604,"Essex County, MA",2009,83415,25009,25009254402,2.50E+12,2.50E+12,1739,155378,1.863,6
21604,"Essex County, MA",2009,83415,25009,25009254403,2.50E+12,2.50E+12,1106,150865,1.809,6
21604,"Essex County, MA",2009,83415,25009,25009260100,25000902601,2.50E+12,897,50070,0.6,1
21604,"Essex County, MA",2009,83415,25009,25009260200,25000902602,2.50E+12,757,50121,0.601,1
21604,"Essex County, MA",2009,83415,25009,25009260301,2.50E+12,2.50E+12,1126,93500,1.121,4
21604,"Essex County, MA",2009,83415,25009,25009260302,2.50E+12,2.50E+12,831,96339,1.155,4
21604,"Essex County, MA",2009,83415,25009,25009260401,2.50E+12,2.50E+12,1063,104620,1.254,5
21604,"Essex County, MA",2009,83415,25009,25009260402,2.50E+12,2.50E+12,1545,95481,1.145,4
21604,"Essex County, MA",2009,83415,25009,25009260500,25000902605,2.50E+12,1107,97544,1.169,4
21604,"Essex County, MA",2009,83415,25009,25009260600,25000902606,2.50E+12,806,56500,0.677,2
21604,"Essex County, MA",2009,83415,25009,25009260700,25000902607,2.50E+12,1148,62095,0.744,2
21604,"Essex County, MA",2009,83415,25009,25009260800,25000902608,2.50E+12,1206,33542,0.402,1
21604,"Essex County, MA",2009,83415,25009,25009260900,25000902609,2.50E+12,1160,52292,0.627,1
21604,"Essex County, MA",2009,83415,25009,25009261000,25000902610,2.50E+12,796,70300,0.843,3
21604,"Essex County, MA",2009,83415,25009,25009261101,2.50E+12,2.50E+12,1356,114389,1.371,5
21604,"Essex County, MA",2009,83415,25009,25009261102,2.50E+12,2.50E+12,1396,79242,0.95,3
21604,"Essex County, MA",2009,83415,25009,25009262100,25000902621,2.50E+12,1669,90812,1.089,4
21604,"Essex County, MA",2009,83415,25009,25009263100,25000902631,2.50E+12,1183,123237,1.477,5
21604,"Essex County, MA",2009,83415,25009,25009264100,25000902641,2.50E+12,1767,100972,1.21,4
