metro,metname,year,metmedfinc,conum,trnum,gisjoin2,gisjoin3,totfam,medfinc,medfincratio,medcat
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017300100,,,885,89107,0.839370847,3
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017301101,,,1114,80000,0.753584683,2
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017301102,,,1364,111382,1.049197078,4
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017310100,,,924,36667,0.345396101,1
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017310200,,,1636,77570,0.730694532,2
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017310300,,,1404,58902,0.554845572,1
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017310400,,,731,31148,0.293408185,1
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017310500,,,645,69453,0.654233932,1
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017310601,,,1466,75955,0.71548152,2
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017310602,,,1380,71142,0.670144022,2
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017310700,,,861,46393,0.437013179,1
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017311100,,,570,32093,0.302309901,1
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017311200,,,681,50243,0.473279417,1
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017311300,,,824,45789,0.431323588,1
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017311400,,,1667,49737,0.468513012,1
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017311500,,,747,65573,0.61768508,1
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017311600,,,1346,82770,0.77967751,2
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017311700,,,1183,52418,0.4937675,1
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017311800,,,748,37569,0.353892773,1
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017311900,,,421,27229,0.256491959,1
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017312000,,,693,36023,0.339329749,1
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017312100,,,621,48125,0.453328282,1
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017312200,,,1067,80383,0.757192433,2
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017312300,,,1086,61273,0.577179909,1
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017312400,,,611,39661,0.373599023,1
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017312501,,,1092,85781,0.808040559,3
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017312502,,,929,106736,1.005432606,4
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017313101,,,1570,117315,1.105084777,4
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017313102,,,1554,111696,1.052154899,4
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017314101,,,1537,91367,0.860659599,3
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017314102,,,2060,85526,0.805638492,3
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017314200,,,1424,87063,0.820116758,3
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017314301,,,2283,91236,0.859425604,3
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017314302,,,863,134792,1.269714832,5
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017315100,,,1799,116106,1.093696237,4
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017315200,,,2123,106938,1.007335424,4
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017315401,,,863,103162,0.971766233,3
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017315402,,,824,115793,1.090747833,4
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017315403,,,447,100625,0.947868228,3
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017315500,,,1909,102978,0.97003299,3
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017316101,,,1361,103352,0.973556042,3
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017316102,,,1789,105983,0.998339534,3
15764,"Cambridge-Newton-Framingham, MA",2010-14,106159.2734,25017,25017316201,,,1157,105804,0.996653378,3
