metro,metname,year,metmedfinc,conum,trnum,gisjoin2,gisjoin3,totfam,medfinc,medfincratio,medcat,gisjoin_mod
14484,"Boston-Quincy, MA",1980,21235,25021,25021400100,25002104001,2.50E+12,833,31320,1.475,5,25002104001
14484,"Boston-Quincy, MA",1980,21235,25021,25021400200,25002104002,2.50E+12,1217,19418,0.914,3,25002104002
14484,"Boston-Quincy, MA",1980,21235,25021,25021400300,25002104003,2.50E+12,865,23228,1.094,4,25002104003
14484,"Boston-Quincy, MA",1980,21235,25021,25021400400,25002104004,2.50E+12,1226,23548,1.109,4,25002104004
14484,"Boston-Quincy, MA",1980,21235,25021,25021400500,25002104005,2.50E+12,1045,26913,1.267,5,25002104005
14484,"Boston-Quincy, MA",1980,21235,25021,25021400600,25002104006,2.50E+12,973,29028,1.367,5,25002104006
14484,"Boston-Quincy, MA",1980,21235,25021,25021400700,25002104007,2.50E+12,755,23492,1.106,4,25002104007
14484,"Boston-Quincy, MA",1980,21235,25021,25021400800,25002104008,2.50E+12,982,21143,0.996,3,25002104008
14484,"Boston-Quincy, MA",1980,21235,25021,25021400900,25002104009,2.50E+12,845,15569,0.733,2,25002104009
14484,"Boston-Quincy, MA",1980,21235,25021,25021401000,25002104010,2.50E+12,781,21091,0.993,3,25002104010
14484,"Boston-Quincy, MA",1980,21235,25021,25021401100,25002104011,2.50E+12,1093,44712,2.106,6,25002104011
14484,"Boston-Quincy, MA",1980,21235,25021,25021401200,25002104012,2.50E+12,1619,35994,1.695,6,25002104012
14484,"Boston-Quincy, MA",1980,21235,25021,25021402100,25002104021,2.50E+12,2263,21612,1.018,4,25002104021
14484,"Boston-Quincy, MA",1980,21235,25021,25021402200,25002104022,2.50E+12,669,23355,1.1,4,25002104022
14484,"Boston-Quincy, MA",1980,21235,25021,25021402300,25002104023,2.50E+12,1350,26506,1.248,4,25002104023
14484,"Boston-Quincy, MA",1980,21235,25021,25021402400,25002104024,2.50E+12,1533,26588,1.252,5,25002104024
14484,"Boston-Quincy, MA",1980,21235,25021,25021402500,25002104025,2.50E+12,816,34537,1.626,6,25002104025
14484,"Boston-Quincy, MA",1980,21235,25021,25021403100,25002104031,2.50E+12,1936,33430,1.574,6,25002104031
14484,"Boston-Quincy, MA",1980,21235,25021,25021403200,25002104032,2.50E+12,1081,33506,1.578,6,25002104032
14484,"Boston-Quincy, MA",1980,21235,25021,25021403300,25002104033,2.50E+12,1072,35000,1.648,6,25002104033
14484,"Boston-Quincy, MA",1980,21235,25021,25021403400,25002104034,2.50E+12,2045,31011,1.46,5,25002104034
14484,"Boston-Quincy, MA",1980,21235,25021,25021403500,25002104035,2.50E+12,1431,28502,1.342,5,25002104035
14484,"Boston-Quincy, MA",1980,21235,25021,25021404100,25002104041,2.50E+12,498,29062,1.369,5,25002104041
14484,"Boston-Quincy, MA",1980,21235,25021,25021404200,25002104042,2.50E+12,2471,38502,1.813,6,25002104042
14484,"Boston-Quincy, MA",1980,21235,25021,25021404300,25002104043,2.50E+12,2539,34572,1.628,6,25002104043
14484,"Boston-Quincy, MA",1980,21235,25021,25021404400,25002104044,2.50E+12,1057,43429,2.045,6,25002104044
14484,"Boston-Quincy, MA",1980,21235,25021,25021405100,25002104051,2.50E+12,1289,43146,2.032,6,25002104051
14484,"Boston-Quincy, MA",1980,21235,25021,25021406101,2.50E+12,2.50E+12,1176,33449,1.575,6,2500210406101
14484,"Boston-Quincy, MA",1980,21235,25021,25021406102,2.50E+12,2.50E+12,1417,34312,1.616,6,2500210406102
14484,"Boston-Quincy, MA",1980,21235,25021,25021407100,25002104071,2.50E+12,1841,24854,1.17,4,25002104071
14484,"Boston-Quincy, MA",1980,21235,25021,25021408100,25002104081,2.50E+12,2115,25746,1.212,4,25002104081
14484,"Boston-Quincy, MA",1980,21235,25021,25021409100,25002104091,2.50E+12,1412,27568,1.298,5,25002104091
14484,"Boston-Quincy, MA",1980,21235,25021,25021410100,25002104101,2.50E+12,1381,25312,1.192,4,25002104101
14484,"Boston-Quincy, MA",1980,21235,25021,25021410200,25002104102,2.50E+12,43,9479,0.446,1,25002104102
14484,"Boston-Quincy, MA",1980,21235,25021,25021410300,25002104103,2.50E+12,788,26339,1.24,4,25002104103
14484,"Boston-Quincy, MA",1980,21235,25021,25021410400,25002104104,2.50E+12,1400,24359,1.147,4,25002104104
14484,"Boston-Quincy, MA",1980,21235,25021,25021411100,25002104111,2.50E+12,1767,26781,1.261,5,25002104111
14484,"Boston-Quincy, MA",1980,21235,25021,25021411200,25002104112,2.50E+12,1384,24808,1.168,4,25002104112
14484,"Boston-Quincy, MA",1980,21235,25021,25021411300,25002104113,2.50E+12,1536,30237,1.424,5,25002104113
14484,"Boston-Quincy, MA",1980,21235,25021,25021412100,25002104121,2.50E+12,1583,32365,1.524,6,25002104121
14484,"Boston-Quincy, MA",1980,21235,25021,25021412200,25002104122,2.50E+12,729,32630,1.537,6,25002104122
14484,"Boston-Quincy, MA",1980,21235,25021,25021412300,25002104123,2.50E+12,1356,30924,1.456,5,25002104123
14484,"Boston-Quincy, MA",1980,21235,25021,25021413100,25002104131,2.50E+12,1667,24814,1.169,4,25002104131
14484,"Boston-Quincy, MA",1980,21235,25021,25021413200,25002104132,2.50E+12,1567,22821,1.075,4,25002104132
14484,"Boston-Quincy, MA",1980,21235,25021,25021413300,25002104133,2.50E+12,1327,28372,1.336,5,25002104133
14484,"Boston-Quincy, MA",1980,21235,25021,25021413400,25002104134,2.50E+12,1903,24993,1.177,4,25002104134
14484,"Boston-Quincy, MA",1980,21235,25021,25021413500,25002104135,2.50E+12,1017,19980,0.941,3,25002104135
14484,"Boston-Quincy, MA",1980,21235,25021,25021414100,25002104141,2.50E+12,1026,29375,1.383,5,25002104141
14484,"Boston-Quincy, MA",1980,21235,25021,25021414200,25002104142,2.50E+12,1442,32653,1.538,6,25002104142
14484,"Boston-Quincy, MA",1980,21235,25021,25021414300,25002104143,2.50E+12,1328,26972,1.27,5,25002104143
14484,"Boston-Quincy, MA",1980,21235,25021,25021415100,25002104151,2.50E+12,2793,26626,1.254,5,25002104151
14484,"Boston-Quincy, MA",1980,21235,25021,25021415200,25002104152,2.50E+12,901,31098,1.464,5,25002104152
14484,"Boston-Quincy, MA",1980,21235,25021,25021415300,25002104153,2.50E+12,924,31992,1.507,6,25002104153
14484,"Boston-Quincy, MA",1980,21235,25021,25021416100,25002104161,2.50E+12,1844,31825,1.499,5,25002104161
14484,"Boston-Quincy, MA",1980,21235,25021,25021416200,25002104162,2.50E+12,1948,25922,1.221,4,25002104162
14484,"Boston-Quincy, MA",1980,21235,25021,25021416300,25002104163,2.50E+12,1198,27432,1.292,5,25002104163
14484,"Boston-Quincy, MA",1980,21235,25021,25021416400,25002104164,2.50E+12,1749,30580,1.44,5,25002104164
14484,"Boston-Quincy, MA",1980,21235,25021,25021417100,25002104171,2.50E+12,1265,25131,1.183,4,25002104171
14484,"Boston-Quincy, MA",1980,21235,25021,25021417200,25002104172,2.50E+12,2019,23443,1.104,4,25002104172
14484,"Boston-Quincy, MA",1980,21235,25021,25021417300,25002104173,2.50E+12,108,11000,0.518,1,25002104173
14484,"Boston-Quincy, MA",1980,21235,25021,25021417400,25002104174,2.50E+12,801,24943,1.175,4,25002104174
14484,"Boston-Quincy, MA",1980,21235,25021,25021417500,25002104175,2.50E+12,2533,21540,1.014,4,25002104175
14484,"Boston-Quincy, MA",1980,21235,25021,25021417600,25002104176,2.50E+12,2323,21860,1.029,4,25002104176
