metro,metname,year,metmedfinc,conum,trnum,gisjoin2,gisjoin3,totfam,medfinc,medfincratio,medcat,gisjoin2_mod
14484,"Boston-Quincy, MA",2000,63577,25021,25021400100,25002104001,2.50E+12,1021,83051,1.306,5,2500214000100
14484,"Boston-Quincy, MA",2000,63577,25021,25021400200,25002104002,2.50E+12,1150,93777,1.475,5,2500214000200
14484,"Boston-Quincy, MA",2000,63577,25021,25021400300,25002104003,2.50E+12,876,97560,1.535,6,2500214000300
14484,"Boston-Quincy, MA",2000,63577,25021,25021400400,25002104004,2.50E+12,1127,100933,1.588,6,2500214000400
14484,"Boston-Quincy, MA",2000,63577,25021,25021400500,25002104005,2.50E+12,1049,86837,1.366,5,2500214000500
14484,"Boston-Quincy, MA",2000,63577,25021,25021400600,25002104006,2.50E+12,1168,121322,1.908,6,2500214000600
14484,"Boston-Quincy, MA",2000,63577,25021,25021400700,25002104007,2.50E+12,775,93772,1.475,5,2500214000700
14484,"Boston-Quincy, MA",2000,63577,25021,25021400800,25002104008,2.50E+12,1042,88591,1.393,5,2500214000800
14484,"Boston-Quincy, MA",2000,63577,25021,25021400900,25002104009,2.50E+12,891,59420,0.935,3,2500214000900
14484,"Boston-Quincy, MA",2000,63577,25021,25021401000,25002104010,2.50E+12,881,70521,1.109,4,2500214001000
14484,"Boston-Quincy, MA",2000,63577,25021,25021401100,25002104011,2.50E+12,959,158457,2.492,6,2500214001100
14484,"Boston-Quincy, MA",2000,63577,25021,25021401200,25002104012,2.50E+12,1419,107151,1.685,6,2500214001200
14484,"Boston-Quincy, MA",2000,63577,25021,25021402101,2.50E+12,2.50E+12,1031,66620,1.048,4,2500214002101
14484,"Boston-Quincy, MA",2000,63577,25021,25021402102,2.50E+12,2.50E+12,1060,58095,0.914,3,2500214002102
14484,"Boston-Quincy, MA",2000,63577,25021,25021402200,25002104022,2.50E+12,617,65742,1.034,4,2500214002200
14484,"Boston-Quincy, MA",2000,63577,25021,25021402300,25002104023,2.50E+12,1247,80903,1.273,5,2500214002300
14484,"Boston-Quincy, MA",2000,63577,25021,25021402400,25002104024,2.50E+12,1385,70878,1.115,4,2500214002400
14484,"Boston-Quincy, MA",2000,63577,25021,25021402500,25002104025,2.50E+12,829,107990,1.699,6,2500214002500
14484,"Boston-Quincy, MA",2000,63577,25021,25021403100,25002104031,2.50E+12,1881,126081,1.983,6,2500214003100
14484,"Boston-Quincy, MA",2000,63577,25021,25021403200,25002104032,2.50E+12,1137,117587,1.85,6,2500214003200
14484,"Boston-Quincy, MA",2000,63577,25021,25021403300,25002104033,2.50E+12,1147,125715,1.977,6,2500214003300
14484,"Boston-Quincy, MA",2000,63577,25021,25021403400,25002104034,2.50E+12,2146,94398,1.485,5,2500214003400
14484,"Boston-Quincy, MA",2000,63577,25021,25021403500,25002104035,2.50E+12,1489,88728,1.396,5,2500214003500
14484,"Boston-Quincy, MA",2000,63577,25021,25021404100,25002104041,2.50E+12,1036,113711,1.789,6,2500214004100
14484,"Boston-Quincy, MA",2000,63577,25021,25021404201,2.50E+12,2.50E+12,1040,184430,2.901,6,2500214004201
14484,"Boston-Quincy, MA",2000,63577,25021,25021404202,2.50E+12,2.50E+12,889,119879,1.886,6,2500214004202
14484,"Boston-Quincy, MA",2000,63577,25021,25021404301,2.50E+12,2.50E+12,1561,131582,2.07,6,2500214004301
14484,"Boston-Quincy, MA",2000,63577,25021,25021404302,2.50E+12,2.50E+12,908,120537,1.896,6,2500214004302
14484,"Boston-Quincy, MA",2000,63577,25021,25021404400,25002104044,2.50E+12,1120,154884,2.436,6,2500214004400
14484,"Boston-Quincy, MA",2000,63577,25021,25021405100,25002104051,2.50E+12,1571,157168,2.472,6,2500214005100
14484,"Boston-Quincy, MA",2000,63577,25021,25021406101,2.50E+12,2.50E+12,1541,101361,1.594,6,2500214006101
14484,"Boston-Quincy, MA",2000,63577,25021,25021406102,2.50E+12,2.50E+12,1775,119341,1.877,6,2500214006102
14484,"Boston-Quincy, MA",2000,63577,25021,25021407100,25002104071,2.50E+12,2193,72171,1.135,4,2500214007100
14484,"Boston-Quincy, MA",2000,63577,25021,25021408101,2.50E+12,2.50E+12,2008,91619,1.441,5,2500214008101
14484,"Boston-Quincy, MA",2000,63577,25021,25021408102,2.50E+12,2.50E+12,1329,79582,1.252,5,2500214008102
14484,"Boston-Quincy, MA",2000,63577,25021,25021409101,2.50E+12,2.50E+12,1154,77506,1.219,4,2500214009101
14484,"Boston-Quincy, MA",2000,63577,25021,25021409102,2.50E+12,2.50E+12,1279,100863,1.586,6,2500214009102
14484,"Boston-Quincy, MA",2000,63577,25021,25021410100,25002104101,2.50E+12,1625,81244,1.278,5,2500214010100
14484,"Boston-Quincy, MA",2000,63577,25021,25021410300,25002104103,2.50E+12,1184,82806,1.302,5,2500214010300
14484,"Boston-Quincy, MA",2000,63577,25021,25021410400,25002104104,2.50E+12,1604,70987,1.117,4,2500214010400
14484,"Boston-Quincy, MA",2000,63577,25021,25021411100,25002104111,2.50E+12,2001,78617,1.237,4,2500214011100
14484,"Boston-Quincy, MA",2000,63577,25021,25021411200,25002104112,2.50E+12,1626,83643,1.316,5,2500214011200
14484,"Boston-Quincy, MA",2000,63577,25021,25021411300,25002104113,2.50E+12,2359,91388,1.437,5,2500214011300
14484,"Boston-Quincy, MA",2000,63577,25021,25021412100,25002104121,2.50E+12,1724,102511,1.612,6,2500214012100
14484,"Boston-Quincy, MA",2000,63577,25021,25021412200,25002104122,2.50E+12,898,124613,1.96,6,2500214012200
14484,"Boston-Quincy, MA",2000,63577,25021,25021412300,25002104123,2.50E+12,1258,98710,1.553,6,2500214012300
14484,"Boston-Quincy, MA",2000,63577,25021,25021413100,25002104131,2.50E+12,1563,73097,1.15,4,2500214013100
14484,"Boston-Quincy, MA",2000,63577,25021,25021413200,25002104132,2.50E+12,1459,64583,1.016,4,2500214013200
14484,"Boston-Quincy, MA",2000,63577,25021,25021413300,25002104133,2.50E+12,1392,71686,1.128,4,2500214013300
14484,"Boston-Quincy, MA",2000,63577,25021,25021413400,25002104134,2.50E+12,2005,75853,1.193,4,2500214013400
14484,"Boston-Quincy, MA",2000,63577,25021,25021413500,25002104135,2.50E+12,1022,70060,1.102,4,2500214013500
14484,"Boston-Quincy, MA",2000,63577,25021,25021414100,25002104141,2.50E+12,1516,100388,1.579,6,2500214014100
14484,"Boston-Quincy, MA",2000,63577,25021,25021414200,25002104142,2.50E+12,2115,115454,1.816,6,2500214014200
14484,"Boston-Quincy, MA",2000,63577,25021,25021414300,25002104143,2.50E+12,1329,78828,1.24,4,2500214014300
