metro,metname,year,metmedfinc,conum,trnum,gisjoin2,gisjoin3,totfam,medfinc,medfincratio,medcat
14484,"Boston-Quincy, MA",2009,86959,25021,25021400100,25002104001,2.50E+12,773,175865,2.022,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021400200,25002104002,2.50E+12,1172,102833,1.183,4
14484,"Boston-Quincy, MA",2009,86959,25021,25021400300,25002104003,2.50E+12,849,165781,1.906,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021400400,25002104004,2.50E+12,1188,129821,1.493,5
14484,"Boston-Quincy, MA",2009,86959,25021,25021400500,25002104005,2.50E+12,1170,135588,1.559,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021400600,25002104006,2.50E+12,1280,169590,1.95,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021400700,25002104007,2.50E+12,1113,166250,1.912,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021400800,25002104008,2.50E+12,1259,98594,1.134,4
14484,"Boston-Quincy, MA",2009,86959,25021,25021400900,25002104009,2.50E+12,835,135223,1.555,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021401000,25002104010,2.50E+12,758,115625,1.33,5
14484,"Boston-Quincy, MA",2009,86959,25021,25021401100,25002104011,2.50E+12,1167,215313,2.476,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021401200,25002104012,2.50E+12,1605,154275,1.774,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021402101,2.50E+12,2.50E+12,952,105000,1.207,4
14484,"Boston-Quincy, MA",2009,86959,25021,25021402102,2.50E+12,2.50E+12,1106,80833,0.93,3
14484,"Boston-Quincy, MA",2009,86959,25021,25021402200,25002104022,2.50E+12,600,102661,1.181,4
14484,"Boston-Quincy, MA",2009,86959,25021,25021402300,25002104023,2.50E+12,1271,102083,1.174,4
14484,"Boston-Quincy, MA",2009,86959,25021,25021402400,25002104024,2.50E+12,1478,107439,1.236,4
14484,"Boston-Quincy, MA",2009,86959,25021,25021402500,25002104025,2.50E+12,929,151042,1.737,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021403100,25002104031,2.50E+12,1871,151691,1.744,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021403300,25002104033,2.50E+12,1121,177898,2.046,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021403400,25002104034,2.50E+12,1660,163103,1.876,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021403500,25002104035,2.50E+12,1456,122879,1.413,5
14484,"Boston-Quincy, MA",2009,86959,25021,25021404100,25002104041,2.50E+12,1102,159444,1.834,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021404201,2.50E+12,2.50E+12,938,236204,2.716,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021404202,2.50E+12,2.50E+12,797,183783,2.113,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021404301,2.50E+12,2.50E+12,1422,203200,2.337,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021404302,2.50E+12,2.50E+12,899,127679,1.468,5
14484,"Boston-Quincy, MA",2009,86959,25021,25021404400,25002104044,2.50E+12,1207,161927,1.862,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021405100,25002104051,2.50E+12,1512,200735,2.308,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021406101,2.50E+12,2.50E+12,1477,137266,1.579,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021406102,2.50E+12,2.50E+12,1789,139595,1.605,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021407100,25002104071,2.50E+12,2299,99976,1.15,4
14484,"Boston-Quincy, MA",2009,86959,25021,25021408101,2.50E+12,2.50E+12,2152,125795,1.447,5
14484,"Boston-Quincy, MA",2009,86959,25021,25021408102,2.50E+12,2.50E+12,1262,108235,1.245,4
14484,"Boston-Quincy, MA",2009,86959,25021,25021409101,2.50E+12,2.50E+12,1252,129583,1.49,5
14484,"Boston-Quincy, MA",2009,86959,25021,25021409102,2.50E+12,2.50E+12,1356,138571,1.594,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021410100,25002104101,2.50E+12,1610,110278,1.268,5
14484,"Boston-Quincy, MA",2009,86959,25021,25021410300,25002104103,2.50E+12,1264,113301,1.303,5
14484,"Boston-Quincy, MA",2009,86959,25021,25021410400,25002104104,2.50E+12,1573,102417,1.178,4
14484,"Boston-Quincy, MA",2009,86959,25021,25021411100,25002104111,2.50E+12,2208,100735,1.158,4
14484,"Boston-Quincy, MA",2009,86959,25021,25021411200,25002104112,2.50E+12,1594,103333,1.188,4
14484,"Boston-Quincy, MA",2009,86959,25021,25021411301,2.50E+12,2.50E+12,1439,136394,1.568,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021411302,2.50E+12,2.50E+12,982,111716,1.285,5
14484,"Boston-Quincy, MA",2009,86959,25021,25021412100,25002104121,2.50E+12,1618,160119,1.841,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021412200,25002104122,2.50E+12,1020,206071,2.37,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021412300,25002104123,2.50E+12,1281,135507,1.558,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021413100,25002104131,2.50E+12,1463,106343,1.223,4
14484,"Boston-Quincy, MA",2009,86959,25021,25021413200,25002104132,2.50E+12,1469,95391,1.097,4
14484,"Boston-Quincy, MA",2009,86959,25021,25021413300,25002104133,2.50E+12,1382,84633,0.973,3
14484,"Boston-Quincy, MA",2009,86959,25021,25021413401,2.50E+12,2.50E+12,803,104922,1.207,4
14484,"Boston-Quincy, MA",2009,86959,25021,25021413402,2.50E+12,2.50E+12,1013,92969,1.069,4
14484,"Boston-Quincy, MA",2009,86959,25021,25021413500,25002104135,2.50E+12,1041,82386,0.947,3
14484,"Boston-Quincy, MA",2009,86959,25021,25021414100,25002104141,2.50E+12,1484,142206,1.635,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021414200,25002104142,2.50E+12,2280,148818,1.711,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021414300,25002104143,2.50E+12,1309,118281,1.36,5
14484,"Boston-Quincy, MA",2009,86959,25021,25021415101,2.50E+12,2.50E+12,1212,108929,1.253,5
14484,"Boston-Quincy, MA",2009,86959,25021,25021415102,2.50E+12,2.50E+12,2231,94443,1.086,4
14484,"Boston-Quincy, MA",2009,86959,25021,25021415200,25002104152,2.50E+12,1466,122778,1.412,5
14484,"Boston-Quincy, MA",2009,86959,25021,25021415300,25002104153,2.50E+12,1043,146012,1.679,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021416101,2.50E+12,2.50E+12,1376,152102,1.749,6
14484,"Boston-Quincy, MA",2009,86959,25021,25021416102,2.50E+12,2.50E+12,640,153077,1.76,6
