metro,metname,year,metmedfinc,conum,trnum,gisjoin2,gisjoin3,totfam,medfinc,medfincratio,medcat
14484,"Boston-Quincy, MA",2008,84103,25021,25021400100,25002104001,2.50E+12,743,170341,2.025,6
14484,"Boston-Quincy, MA",2008,84103,25021,25021400200,25002104002,2.50E+12,1073,101656,1.209,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021400300,25002104003,2.50E+12,800,162222,1.929,6
14484,"Boston-Quincy, MA",2008,84103,25021,25021400400,25002104004,2.50E+12,1082,138523,1.647,6
14484,"Boston-Quincy, MA",2008,84103,25021,25021400500,25002104005,2.50E+12,1251,142171,1.69,6
14484,"Boston-Quincy, MA",2008,84103,25021,25021400600,25002104006,2.50E+12,1183,164234,1.953,6
14484,"Boston-Quincy, MA",2008,84103,25021,25021400700,25002104007,2.50E+12,1075,151518,1.802,6
14484,"Boston-Quincy, MA",2008,84103,25021,25021400800,25002104008,2.50E+12,1142,95551,1.136,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021400900,25002104009,2.50E+12,833,121875,1.449,5
14484,"Boston-Quincy, MA",2008,84103,25021,25021401000,25002104010,2.50E+12,820,110500,1.314,5
14484,"Boston-Quincy, MA",2008,84103,25021,25021401100,25002104011,2.50E+12,1150,201458,2.395,6
14484,"Boston-Quincy, MA",2008,84103,25021,25021401200,25002104012,2.50E+12,1562,149836,1.782,6
14484,"Boston-Quincy, MA",2008,84103,25021,25021402101,2.50E+12,2.50E+12,1003,104127,1.238,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021402102,2.50E+12,2.50E+12,1120,77019,0.916,3
14484,"Boston-Quincy, MA",2008,84103,25021,25021402200,25002104022,2.50E+12,604,86875,1.033,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021402300,25002104023,2.50E+12,1301,93839,1.116,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021402400,25002104024,2.50E+12,1479,94208,1.12,4
14484,"Boston-Quincy, MA",2008,84103,25021,25021402500,25002104025,2.50E+12,975,151219,1.798,6
14484,"Boston-Quincy, MA",2008,84103,25021,25021403100,25002104031,2.50E+12,1840,155726,1.852,6
14484,"Boston-Quincy, MA",2008,84103,25021,25021403300,25002104033,2.50E+12,1118,163229,1.941,6
14484,"Boston-Quincy, MA",2008,84103,25021,25021403400,25002104034,2.50E+12,1631,137455,1.634,6
